"Title","Year","Type","Description","Link","KTS","LifeCourse","Tag1","Tag2","Tag3","Tag4"
"Deaths from suicide and injury of undetermined intent in Derby City and Derbyshire County","2021","Report","This short report provides information on deaths from suicide and undetermined injury in people living in Derby and Derbyshire","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/life_expectancy_and_mortality/suicide/Suicides_in_Derby_and_Derbyshire_Report_2021.pdf","Suicides","Stay Well","AMH",NA,NA,NA
"Deaths from suicide and injury of undetermined intent in Derby City and Derbyshire County","2022","Report","This short report provides information on deaths from suicide and undetermined injury in people living in Derby and Derbyshire","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/life_expectancy_and_mortality/suicide/Suicides_in_Derby_and_Derbyshire_Report_2022.pdf","Suicides","Stay Well","AMH",NA,NA,NA
"Urgent mental health care crisis services",NA,"Link","Urgent mental health care crisis services","https://www.derbyshirehealthcareft.nhs.uk/getting-help/help-mental-health-crisis/urgent-mental-health-crisis-care-alternatives","Suicides","Stay Well","AMH",NA,NA,NA
"NICE Guideline. Type 2 diabetes in adults: management",NA,"Report","This guideline covers care and management for adults (aged 18 and over) with type 2 diabetes. It focuses on patient education, dietary advice, managing cardiovascular risk, managing blood glucose levels, and identifying and managing long-term complications.","https://www.nice.org.uk/guidance/ng28","Diabetes","Stay Well",NA,NA,NA,NA
"NICE Guideline. Musculoskeletal conditions",NA,"Report","NICE guidance on a range of musculoskeletal conditions including arthritis, fractures, hip conditions, joint replacement, knee conditions, low back pain, maxillofacial conditions, osteoporosis, and spinal conditions.","https://www.nice.org.uk/guidance/conditions-and-diseases/musculoskeletal-conditions","MSK","Stay Well",NA,NA,NA,NA
"DPH Annual Report 2024","2024","Annual Report","This year’s DPH report highlights why smoking is still the leading cause of preventable deaths in Derbyshire and calls for renewed efforts to make the county smokefree by 2030.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2024/director_of_public_health_annual_report_2024_FINAL.pdf","Report","Stay Well","Smoking","COPD","CVD",NA
"Dementa prevention, intervention, and care: 2020 report of the Lancet Commission.","2020","Link","This report by the Lancet Commission is about dementia prevention, intervention, and care. A 2024 update is also available.","https://www.thelancet.com/article/S0140-6736(20)30367-6/fulltext","Dementia","Age Well",NA,NA,NA,NA
"SV2",NA,"Link","Supporting victims of sexual violence.","www.sv2.org.uk","Chlamydia","Stay Well","Sexual Health","YP Sexual Health",NA,NA
"Derbyshire LGBT+",NA,"Link","Support for anyone who is Lesbian, Gay, Bisexual, or Transgender or anyone who is having issues with their sexual orientation or gender identity.","www.derbyshirelgbt.org.uk","Chlamydia","Stay Well","Sexual Health","YP Sexual Health","LGBTQ",NA
"Derbyshire Domestic Abuse Helpline",NA,"Link","For those who are experiencing domestic abuse.","https://www.derbyshiredomesticabusehelpline.co.uk/","Chlamydia","Stay Well","Sexual Health","YP Sexual Health",NA,NA
"Safe and Sound",NA,"Link","Preventing the exploitation of young people.","http://www.safeandsoundgroup.org.uk/","Chlamydia","Stay Well","Sexual Health","YP Sexual Health",NA,NA
"Millfield House Sexual Assault Referral Centre",NA,"Link","Millfield House Sexual Assault Referral Centre","https://millfieldhousesarc.co.uk/","Chlamydia","Stay Well","Sexual Health","YP Sexual Health",NA,NA
"Antibiotic Research UK",NA,"Link","Support for antibiotic-resistant infection patients.","https://www.antibioticresearch.org.uk/patient-support/find-support/","AMR","Stay Well",NA,NA,NA,NA
"Antibiotic Guardian",NA,"Link","Find out how you, as an individual or organisation, can prevent AMR from developing.","https://antibioticguardian.com/","AMR","Stay Well",NA,NA,NA,NA
"E-Bug",NA,"Link","e-Bug provides online activities and lesson plans for children aged 3-16 translated into many languages and is accredited by the Association of Science.","https://www.e-bug.eu/","AMR","Start Well",NA,NA,NA,NA
"E-Learning for Health",NA,"Link","e-Learning for Health provides training on AMR for Healthcare Professionals.","https://www.e-lfh.org.uk/programmes/antimicrobial-resistance-and-infections/","AMR","Stay Well",NA,NA,NA,NA
"National Infection Prevention and Control Manual (NIPCM), NHS England.",NA,"Link","NHS England guidance on infection prevention and control for those who work in care settings.","https://www.england.nhs.uk/national-infection-prevention-and-control-manual-nipcm-for-england/","AMR","Stay Well",NA,NA,NA,NA
"Contained and controlled: the UK's 20-year vision for antimicrobial resistance.",NA,"Report","The 20 Year Vision for Antimicrobial Resistance, gov.uk","https://assets.publishing.service.gov.uk/media/5c48896a40f0b616fe901e91/uk-20-year-vision-for-antimicrobial-resistance.pdf","AMR","Stay Well",NA,NA,NA,NA
"Confronting antimicrobial resistance 2024 to 2029, gov.uk",NA,"Report","The National Action Plan for AMR.","https://www.gov.uk/government/publications/uk-5-year-action-plan-for-antimicrobial-resistance-2024-to-2029/confronting-antimicrobial-resistance-2024-to-2029","AMR","Stay Well",NA,NA,NA,NA
"Thank You Antibiotics - YouTube",NA,"Link","Video demonstrating how important it is to keep antibiotics working for indivduals, British Society for Antimicrobial Chemotherapy.","https://www.youtube.com/watch?v=B3a3sfdRQa8","AMR","Stay Well",NA,NA,NA,NA
"Emma - A Summer Camp Story - PHE, YouTube",NA,"Link","Video demonstrating the impact of AMR.","https://www.youtube.com/watch?v=AmhdUbUMT_8&t=178s","AMR","Stay Well",NA,NA,NA,NA
"Derbyshire Network Alliance",NA,"Link","Derbyshire Network Alliance - LGBTQ+ Network","https://x.com/derbys_alliance","LGBTQ","Stay Well",NA,NA,NA,NA
"PRiDE OUT East Midlands",NA,"Link","LGBTQ+ Cycling group","https://www.facebook.com/groups/prideouteastmidlands/","LGBTQ","Stay Well","Physical Activity",NA,NA,NA
"Gay Outdoors Club",NA,"Link","Gay Outdoor Club East Midlands for LGBTQ+","https://www.goc.org.uk/groups/east-midlands/","LGBTQ","Stay Well","Physical Activity",NA,NA,NA
"Outdoorlads",NA,"Link","OutdoorLads runs a range of sociable outdoor activiteis aimed at the gay, bi, and trans community.","https://www.outdoorlads.com/regions","LGBTQ","Stay Well","Physical Activity",NA,NA,NA
"Derby Pride",NA,"Link","Pride event ran annually in Derby.","https://www.derbypride.co.uk/","LGBTQ","Stay Well",NA,NA,NA,NA
"Pride in Belper",NA,"Link","Pride event ran annually in Belper.","https://prideinbelper.co.uk/","LGBTQ","Stay Well",NA,NA,NA,NA
"Chesterfield Pride",NA,"Link","Pride event ran annually in Chesterfield.","https://www.chesterfieldpride.co.uk/","LGBTQ","Stay Well",NA,NA,NA,NA
"Safer Derbyshire LGBTQ+",NA,"Link","Safer Derbyshire LGBTQ+ domestic and/or sexual violence.","https://www.saferderbyshire.gov.uk/what-we-do/domestic-abuse/staff-guidance/lgbt/section-for-lesbian-gay-bisexual-and-transgender-lgbt.aspx","LGBTQ","Stay Well",NA,NA,NA,NA
"LGBT Action Plan",NA,"Link","LGBT Action Plan Gov UK","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/721367/GEO-LGBT-Action-Plan.pdf","LGBTQ","Stay Well",NA,NA,NA,NA
"Sport England LGBT",NA,"Link","Sport England data and research LGBTQ","https://www.sportengland.org/research-and-data/research/lgbtq","LGBTQ","Stay Well","Physical Activity",NA,NA,NA
"ARUP",NA,"Link","A collaboration between Arup and the University of Westminster, explores the relationship between queer communities and public spaces.","https://www.arup.com/perspectives/publications/research/section/queering-public-space","LGBTQ","Stay Well",NA,NA,NA,NA
"Croydon Director of Public Health Annual Report 2023","2023","Report","From Question Marks to Understanding: Uncovering the health and wellbeing of our LGBTQ+ community.","https://www.croydon.gov.uk/sites/default/files/2024-02/director-of-public-health-report-2023.pdf","LGBTQ","Stay Well",NA,NA,NA,NA
"Gender Identity and Sexual Orientation","2023","Report","Derbyshire Observatory overview.","https://storymaps.arcgis.com/stories/2a5bbc7021eb4395bc435ad744016549","LGBTQ","Stay Well",NA,NA,NA,NA
"Hidden Figures: LGBT Health Inequalities in the UK","2023","Link","Report from the LGBT Foundation.","https://lgbt.foundation/help/hidden-figures-lgbt-health-inequalities-in-the-uk/","LGBTQ","Stay Well",NA,NA,NA,NA
"Derbyshire County Council Men at Work Study","2024","Report","This study explored how blue-collar men in Derbyshire manage their wellbeing, identifying key themes such as workplace culture and community support. It recommends flexible services, preventative health initiatives, and improved awareness of men’s health through diverse communication methods, with regular evaluation and collaboration with local businesses.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/adult_lifestyles/men_at_work_study_2024_final.pdf","Mental Health","Stay Well",NA,NA,NA,NA
"Children in Care Needs Assessment – Emotional and Mental Health","2024","Report","This needs assessment looks at how we can best meet the emotional and mental health needs
of children in care.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/children_in_care_needs_assessment_2024_v2.pdf","CSEMH","Start Well","Neurodiversity",NA,NA,NA
"Derby and Derbyshire Young People’s Relationships and Sexual Health Strategy 2024-2027","2024","Strategy","The Derby and Derbyshire Young People’s Relationships and Sexual Health Strategy 2024-2027 aims to support young people by providing accessible, inclusive services that promote healthy relationships and sexual wellbeing through prevention and early diagnosis.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/safe_healthy_and_happy_relationships_strategy_2024-2027.pdf","Sexual Health","Start Well","Chlamydia","YP Sexual Health",NA,NA
"Suicides in Derby and Derbyshire Report","2023","Report","This report analyses 2022 deaths from suicide and undetermined injury in Derby City and Derbyshire County, comparing local patterns with national trends, to inform the Suicide Prevention Partnership Forum. Further details are in the JSNA and Health Profiles.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/life_expectancy_and_mortality/suicide/suicides_in_derby_and_derbyshire_report_2023.pdf","Suicides","Stay Well","AMH",NA,NA,NA
"Falls Deep Dive","2023","Report","Falls Deep Dive","https://jsnaderbyshire.org.uk/Healthy_People/Difficulties_in_daily_life/Falls_Deep_Dive.html","Falls","Age Well",NA,NA,NA,NA
"Derby and Derbyshire Sexual Health Strategy 2024-27","2024","Strategy","This is the 2024 strategy on Sexual Health. The strategic vision is that all people in Derby and Derbyshire will have good sexual health, with equitable access to quality, welcoming services without fear of stigma.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2024/derby_and_derbyshire_sexual_health_strategy_may24.pdf","Sexual Health","Stay Well","Sexual Health","YP Sexual Health",NA,NA
"South Derbyshire TB services",NA,"Link","A list of services offered through the University Hospital Derby and Burton","https://www.uhdb.nhs.uk/service-southern-derbyshire-Tuberculosis-service/","Tuberculosis","Stay Well",NA,NA,NA,NA
"The End TB Strategy",NA,"Link","World Health Organisation - The End TB Strategy","https://www.who.int/teams/global-tuberculosis-programme/the-end-tb-strategy","Tuberculosis","Stay Well",NA,NA,NA,NA
"NHS England and UKHSA - Tuberculosis (TB): action plan for England, 2021 to 2026",NA,"Link","NHS England and UKHSA - Tuberculosis (TB): action plan for England, 2021 to 2026","https://www.gov.uk/government/publications/tuberculosis-tb-action-plan-for-england/tuberculosis-tb-action-plan-for-england-2021-to-2026#:~:text=The%20aim%20of%20the%20tuberculosis,(%20COVID%2D19%20)%20pandemic.","Tuberculosis","Stay Well",NA,NA,NA,NA
"Greenbook chapter 32 - Tuberculosis",NA,"Link","Greenbook chapter 32 - Tuberculosis","https://assets.publishing.service.gov.uk/media/5b645a2140f0b66875559e93/_Greenbook_chapter_32_Tuberculosis_.pdf","Tuberculosis","Stay Well",NA,NA,NA,NA
"UKHSA - Tackling TB in inclusion health groups: a toolkit for a multi-agency approach",NA,"Link","UKHSA - Tackling TB in inclusion health groups: a toolkit for a multi-agency approach","https://www.gov.uk/government/publications/tackling-tb-in-inclusion-health-groups-toolkit-for-a-multi-agency-approach/tackling-tb-in-inclusion-health-groups-a-toolkit-for-a-multi-agency-approach","Tuberculosis","Stay Well",NA,NA,NA,NA
"Public Health England - TB in low incidence areas - a resource",NA,"Link","Public Health England - TB in low incidence areas - a resource","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/984923/TB_in_low_incidence_areas_a_resource.pdf","Tuberculosis","Stay Well",NA,NA,NA,NA
"Chesterfield Royal Hospital - Infection Prevention and Control (IPC)",NA,"Link","Chesterfield Royal Hospital - Infection Prevention and Control (IPC): Management of active TB for adult and paediatric cases, including treatment regimes, BCG vaccination, contract tracing, Mantoux testing; new entrant screening and BCG vaccination; weekly nurse led clinics every Tuesday and Thursday; telephone advice service for health professionals and patients; networking with vulnerable groups and key service users; TB screening for patients who are starting immune-therapies","https://www.chesterfieldroyal.nhs.uk/patients-visitors-and-carers/advice-and-support/infection-prevention-and-control-ipc","Tuberculosis","Stay Well",NA,NA,NA,NA
"Neurodiversity Hubs",NA,"Link","Joined Up Care Derbyshire Neurodiverse Community Hubs offer support for young people up to the age of 25, their families and carers.","https://dccmhsp.com/NDHubs","Neurodiversity",NA,"SEND",NA,NA,NA
"Emotional Health and Wellbeing Website",NA,"Link","NHS Derby and Derbyshire Emotional Health and Wellbeing website.","http://dccmhsp.com/EHWB","Neurodiversity",NA,NA,NA,NA,NA
"Derbyshire Healthcare NHS Foundation Trust Neurodevelopmental pathway",NA,"Link","The Neurodevelopmental pathway is a higher specialist service responsible for the assessment of neurodevelopmental conditions such as ASD and ADHD.","https://www.derbyshirehealthcareft.nhs.uk/services/childrens-complex-health-derby-and-southern-derbyshire/neurodevelopmental-pathway","Neurodiversity",NA,"SEND",NA,NA,NA
"ADHD UK",NA,"Link","ADHD UK is is a charity that works to help those affected by ADHD.","https://adhduk.co.uk/","Neurodiversity",NA,"SEND",NA,NA,NA
"ADHD Foundation",NA,"Link","The ADHD Foundation Neurodiversity Charity is an integrated health and education service.","https://www.adhdfoundation.org.uk/","Neurodiversity",NA,"SEND",NA,NA,NA
"Autism East Midlands",NA,"Link","Autism East Midlands supports young people, adults and their families.","https://www.derbyshireautismservices.org/","Neurodiversity",NA,"SEND",NA,NA,NA
"National Autistic Society",NA,"Link","The National Autistic Society helps autistic people in the UK and their families. The work they do includes running specialist schools and campaigning for improved rights.","https://www.autism.org.uk/","Neurodiversity",NA,NA,NA,NA,NA
"Derbyshire County Council Autism information",NA,"Link","Information from Derbyshire County Council about local services related to autism.","https://www.derbyshire.gov.uk/social-health/adult-care-and-wellbeing/disability-support/autism/autism.aspx","Neurodiversity",NA,"SEND",NA,NA,NA
"National Organisation for Fetal Alcohol Spectrum Disorder",NA,"Link","The National Organisation for FASD is dedicated to supoorting people with FASD, their families and communities.","https://nationalfasd.org.uk/","Neurodiversity",NA,NA,NA,NA,NA
"Derby and Derbyshire Talking Therapies",NA,"Link","Talking therapies available in Derby and Derbyshire.","https://dccmhsp.com/Talkingtherapy","Neurodiversity",NA,NA,NA,NA,NA
"Blood Pressure Test",NA,"Link","NHS Blood pressure test information","https://www.nhs.uk/conditions/blood-pressure-test/","Hypertension","Stay Well",NA,NA,NA,NA
"Live Life Better Derbyshire",NA,"Link","Information and support on a wide range of topics","https://www.livelifebetterderbyshire.org.uk/home.aspx","Hypertension","Stay Well",NA,NA,NA,NA
"Live Life Better Derbyshire NHS Health Check",NA,"Link","NHS health check information - those aged between 40 and 74 may be eligible for a free NHS health check","https://www.livelifebetterderbyshire.org.uk/latest-news/nhs-health-check.aspx","Hypertension","Stay Well",NA,NA,NA,NA
"NICE Guideline. Hypertension in adults: diagnosis and management","2019","Report","This guideline covers identifying and treating primary hypertension (high blood pressure) in people aged 18 and over, including people with type 2 diabetes.","https://www.nice.org.uk/guidance/ng136","Hypertension","Stay Well",NA,NA,NA,NA
"Joined Up Care Derbyshire Blood Pressure Check",NA,"Link","Information on how to get a blood pressure check","https://joinedupcarederbyshire.co.uk/news/check-your-blood-pressure-this-knowyournumbersweek/","Hypertension","Stay Well",NA,NA,NA,NA
"Derbyshire Autism Profile","2018","Report","Report about Autism in Derbyshire, published in 2018.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/disease_and_long_term_conditions/autism/Autism_in_Derbyshire2018.pdf","Neurodiversity",NA,"SEND",NA,NA,NA
"Autism in Derbyshire projections","2017","Report","Projected population aged 18-64 years to have ASD, projected to 2035 in Derbyshire and its districts and boroughs.","https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fobservatory.derbyshire.gov.uk%2Fwp-content%2Fuploads%2Freports%2Fdocuments%2Fhealth%2Fdisease_and_long_term_conditions%2Fautism%2FAutism_Projections_Derbyshire_and_districts_2017PANSI.xlsx&wdOrigin=BROWSELINK","Neurodiversity",NA,NA,NA,NA,NA
"Derbyshire Joint Health and Social Care All Age Autism Strategy 2023-28","2023","Strategy","Derbyshire Joint Health & Social Care All Age Autism Strategy 2023-28","https://www.derby.gov.uk/media/derbycitycouncil/contentassets/documents/healthandsocialcare/disabilities/joined-up-care-all-age-autism-strategy2023-28.pdf","Neurodiversity",NA,"SEND",NA,NA,NA
"Children and Young People with Special Educational Needs and Disabilities in Derbyshire","2017","Report","Report on children and young people with special educational needs and disabilities in Derbyshire.","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/children_and_education/SEND_Needs_Assessment_2017.pdf","Neurodiversity","Start Well","CSEMH","SEND",NA,NA
"Adverse Weather and Health Plan",NA,"Link","The Adverse Weather and Health Plan aims to protect individuals and communities from the health effects of adverse weather and to build community resilience.","https://www.gov.uk/government/publications/adverse-weather-and-health-plan","ESM","Stay Well",NA,NA,NA,NA
"Dentistry in Derbyshire","2022-2024","Report","Healthwatch Derbyshire's report on the access to dentistry","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2024/dentistry_in_derbyshire_healthwatch_22-24.pdf","Oral Health","Stay Well",NA,NA,NA,NA
"Fingertips Public Health profiles",NA,"Link","Contains a range of available indicators, including risk factors, measures of prevalence and relevant maternity statistics","https://fingertips.phe.org.uk/profile-group/mental-health/profile/perinatal-mental-health","Perinatal MH",NA,NA,NA,NA,NA
"Government Perinatal mental health: national datasets",NA,"Link","Gives detail on and provides links to metrics and data sets relating to perinatal mental health, describes metrics that will be available in the future and metrics that may be collected locally","https://www.gov.uk/government/publications/perinatal-mental-health-national-datasets","Perinatal MH",NA,NA,NA,NA,NA
"NHS Benchmarking Network",NA,"Link","Undertaken a detailed assessment of specialist inpatient and community perinatal mental health services covering 2015 to 2016. A national report is available to download and participating organisations can gain access to local data. Regional clinical networks have all been provided with a bespoke report covering their area.","https://www.nhsbenchmarking.nhs.uk/home","Perinatal MH",NA,NA,NA,NA,NA
"MBRRACE-UK: Mothers and Babies: Reducing Risk through Audits and Confidential Enquiries across the UK","2024","Report","Shows that mental health problems are a leading cause of death in pregnancy and the 12 months after birth","https://www.npeu.ox.ac.uk/mbrrace-uk","Perinatal MH",NA,NA,NA,NA,NA
"NMHIN and ChiMat needs assessment report","2023","Report","Information on risk factors alongside detailed estimates of local numbers of perinatal mental health disorders. Prevalence estimates are based on applying national rates to local populations, they do not adjust for local demographic factors.","https://fingertips.phe.org.uk/profile-group/mental-health/profile/perinatal-mental-health","Perinatal MH",NA,NA,NA,NA,NA
"Mental Health support map Derbyshire",NA,"Link","This fully interactive Google My Maps highlights in one place the pathways and many support options for mental health and wellbeing in the county of Derbyshire","https://dva.org.uk/mental-health-support-map-derbyshire/","Perinatal MH",NA,NA,NA,NA,NA
"Derbyshire Family Health Service parent and carer mental health",NA,"Link","Information on parent and carer mental health","https://derbyshirefamilyhealthservice.nhs.uk/our-services/0-5-years/parent-mental-health","Perinatal MH",NA,NA,NA,NA,NA
"Derbyshire Preconception toolkit",NA,"Link","Derbyshire County Council website information regarding preconception health","https://www.derbyshire.gov.uk/social-health/health-and-wellbeing/your-health/preconception/preconception.aspx","Perinatal MH",NA,NA,NA,NA,NA
"Derbyshire Family Health Service 0-5 years",NA,"Link","Advice and information on nutrition, childhood illnesses and how you can help your children to develop at home","https://www.derbyshirefamilyhealthservice.nhs.uk/our-services/0-5-years","Perinatal MH",NA,NA,NA,NA,NA
"NHS Derbyshire Healthcare NHS Foundation Trust Perinatal (mother and baby) services",NA,"Link","Information about our services and how to refer into them","https://www.derbyshirehealthcareft.nhs.uk/services/mental-health-and-emotional-wellbeing/perinatal-mother-and-baby-services","Perinatal MH",NA,NA,NA,NA,NA
"Derby and Derbyshire Safeguarding Children Partnership",NA,"Link","Derby City Council, Derbyshire County Council, Derby and Derbyshire Integrated Care Board and Derbyshire Constabulary (the statutory partners) work in partnership with relevant agencies such as health providers, schools and education settings, probation providers and others to challenge and hold each other to account as to how they are keeping children safe.","https://www.ddscp.org.uk/","Perinatal MH",NA,NA,NA,NA,NA
"Derby and Derbyshire Safeguarding Children Partnership Keeping Babies Safe",NA,"Link","Information and resources on keeping babies safe","https://www.ddscp.org.uk/staff-and-volunteers/info-and-resources/pregnant-women/","Perinatal MH",NA,NA,NA,NA,NA
"Community Mental Health Support Map Derbyshire",NA,"Link","The map aims to bring all aspects of mental health and well-being support in one place","https://www.google.com/maps/d/viewer?mid=1V3Rj_vyQCpVdD_2cHQtdCh8TlIBCdMlj&ll=53.14757988374329%2C-1.4304644216768914&z=10","Perinatal MH",NA,NA,NA,NA,NA
"Child and Maternal Health Intelligence Network Resources",NA,"Link","Resources to improve commissioning for speech, language and communication services, Public Health England.","https://www.choiceforum.org/docs/chmch.pdf","Perinatal MH",NA,NA,NA,NA,NA
"My Life My View survey results 2024","2024","Report","A summary of the My Life My View survey results 2024","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/children_and_younger_people/My_Life_My_View_2024.pdf","CSEMH","Start Well","Physical Activity","LGBTQ","YP Sexual Health","Loneliness"
"Social Connectednesss Scheme",NA,"Link","The 'Feeling Connected' partnership aims to improve local approaches to social connectedness in Chesterfield and North East Derbyshire.","https://dva.org.uk/feeling-connected/","Loneliness","Stay Well",NA,NA,NA,NA
"Time Swap",NA,"Link","The Time Swap scheme, funded by DCC Public Health sees members receiving 'time credit' for time that they give to the scheme, which they can then 'spend' receiving help, support or learning a new skill from another scheme member.","https://www.derbyshiretimeswap.org.uk/","Loneliness","Stay Well",NA,NA,NA,NA
"Social Prescribing - Joined Up Care Derbyshire",NA,"Link","Social prescribing takes a holistic approach to health and wellbeing, helping people focus on what matters to them. It involves professionals referring people to a range of local services to meet their non-clinical needs.","https://joinedupcarederbyshire.co.uk/about-us/jucd-workstreams/social-prescribing/","Loneliness","Stay Well",NA,NA,NA,NA
"Derbyshire Health and Wellbeing Team",NA,"Link","The Health and Wellbeing Team offers support to help pepole live well, stay safe, and feel more connected to their local communities.","https://www.derbyshire.gov.uk/site-elements/documents/pdf/social-health/health-and-wellbeing/improve-your-health/derbyshire-health-and-wellbeing-team.pdf","Loneliness","Stay Well",NA,NA,NA,NA
"Communicty Connectors",NA,"Link","The Community Connectors team helps people with a learning disability and/or who are autistic to be active and involved in their local community.","https://www.derbyshire.gov.uk/site-elements/documents/pdf/social-health/adult-care-and-wellbeing/getting-out-and-about/community-connectors-service-information.pdf","Loneliness","Stay Well","Neurodiversity",NA,NA,NA
"Derbyshire Low Level Support Service",NA,"Link","The Derbyshire Low Level Support Service empowers adults to maintain their indepedence and wellbeing at home. The service is dedicated to supporting adults who may not qualify for traditional social care or NHS assistance but whose needs could get worse without action.","https://dva.org.uk/derbyshire-low-level-support-service/","Loneliness","Stay Well",NA,NA,NA,NA
"Derbyshire All-Age Carers Support Service",NA,"Link","The Derbyshire All Age Carers Support Service offers confidential and independent services to support carers including social activities, peer support groups, and befriending.","https://derbyshirecarers.co.uk/daacss","Loneliness","Stay Well","Carers",NA,NA,NA
"Derbyshire 50+ Forum",NA,"Link","Derbyshire’s 50+ Forum networks provide opportunities for older adults to get involved in their local community, make social connections, have fun and have their say on local issues and services. Over the years the Forums have been active members have forged strong relationships and many have delivered initiatives and activities to benefit older people in their areas.","https://www.derbyshire.gov.uk/community/50-plus-forum/50-forums.aspx","Loneliness","Age Well",NA,NA,NA,NA
"Adult Community Education Service",NA,"Link","The Derbyshire Adult Community Education Service provides support to increase digital connection, including helping people develop their IT skills and, where eligible, helping people access free or low cost WiFi.","https://www.derbyshire.gov.uk/education/adult-education/adult-community-education.aspx","Loneliness","Stay Well",NA,NA,NA,NA
"Derbyshire Health and Wellbeing Strategy 2024-2027","2024","Strategy","The Derbyshire Health and Wellbeing Strategy 2024-2027","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2024/Joint_Local_Health_&_Wellbeing_Strategy2024.pdf","Overarching","Overarching","Health and Wellbeing board","North East Derbyshire","Amber Valley",NA
"University Hospitals of Derby and Burton NHS",NA,"Link","Information about the routine care received during pregnancy","https://www.uhdb.nhs.uk/midwife-led-care/","Antenatal and newborn screening","Start Well",NA,NA,NA,NA
"Chesterfield Royal Hospital",NA,"Link","Information regarding pregnancy and birth","https://www.chesterfieldroyal.nhs.uk/patients-visitors-and-carers/having-your-baby-chesterfield-royal-hospital","Antenatal and newborn screening","Start Well",NA,NA,NA,NA
"Derbyshire Family Health Service NHS",NA,"Link","Antenatal information in Derbyshire","https://derbyshirefamilyhealthservice.nhs.uk/our-services/pregnancy/getting-ready/antenatal-contact","Antenatal and newborn screening","Start Well",NA,NA,NA,NA
"Screening tests in pregnancy",NA,"Link","NHS information regarding screening tests in pregnancy","https://www.nhs.uk/pregnancy/your-pregnancy-care/screening-tests/","Antenatal and newborn screening","Start Well",NA,NA,NA,NA
"Antenatal checks and tests",NA,"Link","NHS information regarding antenatal checks and tests","https://www.nhs.uk/pregnancy/your-pregnancy-care/antenatal-checks-and-tests/","Antenatal and newborn screening","Start Well",NA,NA,NA,NA
"Live Life Better Derbyshire NHS Health Check",NA,"Link","Live Life Better Derbyshire NHS health check information","https://www.livelifebetterderbyshire.org.uk/latest-news/nhs-health-check.aspx","Atrial Fibrillation","Stay Well","Hypertension",NA,NA,NA
"Derbyshire and Nottinghamshire Move More",NA,"Link","Activity finder for being active","https://makingourmove.org.uk/move-more/getting-started/","Atrial Fibrillation","Stay Well",NA,NA,NA,NA
"Cardiac Risk in the Young",NA,"Link","Preventing young sudden cardiac deaths through awareness, screening and research, and supporting affected families.","https://www.c-r-y.org.uk/screening/","Atrial Fibrillation","Stay Well",NA,NA,NA,NA
"NICE guideline. Atrial fibrillation: diagnosis and management",NA,"Report","This guideline covers diagnosing and managing atrial fibrillation in adults.","https://www.nice.org.uk/guidance/ng196","Atrial Fibrillation","Stay Well",NA,NA,NA,NA
"Derby and Derbyshire Domestic Abuse and Sexual Abuse Strategy","2023","Strategy","The Derby and Derbyshire Domestic Abuse and Sexual Abuse Strategy 2023-2026 provides a framework for addressing domestic and sexual abuse in the area.","https://www.saferderbyshire.gov.uk/site-elements/documents/pdf/derby-and-derbyshire-domestic-and-sexual-abuse-strategy-2023-2026.pdf","Domestic Abuse","Stay Well",NA,NA,NA,NA
"Derbyshire Domestic Abuse Service Directory",NA,"Link","The Derbyshire Domestic Abuse Service Directory outlines the domestic abuse services that are available in certain areas throughout Derbyshire. It is regularly updated","https://www.saferderbyshire.gov.uk/what-we-do/domestic-abuse/domestic-abuse-service-directory/derbyshire-domestic-abuse-service-directory.aspx","Domestic Abuse","Stay Well",NA,NA,NA,NA
"Derbyshire Learning Online",NA,"Link","Derbyshire Learning Online provides online courses for Derbyshire County Council staff members.","https://derbyshire.learningpool.com/","Domestic Abuse","Stay Well",NA,NA,NA,NA
"Serious Violence Derbyshire Strategic Needs Assessment","2023","HNA","Serious Violence Derbyshire Strategic Needs Assessment from the Derby and Derbyshire Serious Violence Board 2023","https://observatory.derbyshire.gov.uk/wp-content/uploads/reports/documents/health/specialist_reports_and_assessments/2024/Derbyshire_Serious_Violence_Strategic_Needs_Assessment_v1.pdf","Domestic Abuse","Stay Well",NA,NA,NA,NA
